,ENTITY1,RELATION,ENTITY2
564,Paul, adjusted,binoculars
565,Paul, lowered,binoculars
566,Kynes, promised help,Kynes
567,Jessica, closed,eyes
568,Jessica, opened,eyes
569,Halleck, wore,Fremen robes
570,Hawat, allowed,h.
571,Harkonnens, believe,witch
572,Tuek, took,Halleck
573,Halleck, closed,Tuek eyes
574,Halleck, opened,Tuek eyes
575,Harkonnens, believe,force
576,Halleck, pushed,Halleck
577,Tuek, found,Tuek
578,Jessica, adjusted,stillsuit
579,Jessica, lowered,binoculars
580,Paul, heard,worm
581,Jessica, studied,Paul progress
582,Paul, recovered,balance
583,Paul, dragged,Jessica
584,Jessica, felt,rock
585,Paul, stilled,Paul
586,Paul, found,sensation
587,Paul, crowded,mother
588,Paul, asked,Paul
589,Paul, remembered,Liet
590,Jessica, felt,Jessica
591,Paul, settled,shoulders
592,Paul, tipped,head
593,Paul, saw,mother
594,Paul, lifted,foot
595,Jessica, stretched,desert growth
596,Jessica, replaced,tube
597,Kynes, scraped,ecologist face
598,Kynes, asked,ecologist
599,Kynes, asked,Kynes
600,Kynes, saw fold,Kynes
601,Kynes, saw fold,Kynes
602,Paul, trained,eyes
603,hin, mange,la pchagavas doi
604,Jessica, allowed,Jessica
605,Jessica, permitted,Jessica
606,Jessica, heard excluding,Stilgar Jessica
607,Jessica, readied,voice
608,Cielago, meant,bat
609,Jessica, heard,Stilgar
610,Paul, inched,Paul
611,Paul, returned,attention
612,Paul, brought captured,weapon
613,Jessica, gave,seeress
614,Stilgar, returned,attention
615,Stilgar, gave,companions
616,Stilgar, concealing,cleft
617,Stilgar, touched,lips
618,Stilgar, left,hand
619,Stilgar, left,hand
620,Stilgar, ran,Chakobsa
621,Jessica, asked,Jessica
622,Chani, touched ’s,Paul arm
623,Jessica, knew,Jessica
624,Jessica, admitted,force
625,Jessica, saw,Stilgar detach guards
626,Paul, turned,head
627,Paul, remembered ’s,father
628,Paul, sped,steps
629,Paul, saw,mother
630,Stilgar, took ’s,Jessica arm
631,Stilgar, led,Jessica
632,Jessica, found,Jessica
633,Stilgar, gripped,Jessica arm
634,Jessica, lifted,binoculars
635,Stilgar, lifted,attention
636,Jessica, returned,Stilgar stare
637,Jessica, realized,Jessica
638,Jessica, permitted,Jessica
639,Jessica, asked,Jessica
640,Stilgar, cleared,throat
641,Stilgar, touched,breast
642,Jessica, turned,head
643,Stilgar, cleared,throat
644,Jessica, sensed,Stilgar impatience
645,Jessica, gave,Jessica
646,Jessica, dropped,arm
647,Chani, called,Jamis
648,Paul, knew,mother
649,Paul, sensed,purpose
650,Paul, saw,violence
651,Paul, saw own dead,body
652,Stilgar, fingered,beard
653,Jessica, brings own,champion
654,Jessica, released ’s,Stilgar arm
655,Stilgar, faced,Jamis
656,Literjons, show,dew
657,Stilgar, shook,head
658,Jessica, shook,head
659,Stilgar, faced,Jamis
660,Jessica, shifted,attention
661,Jessica, pitched,voice
662,Jamis, put clenched right,fist
663,Jessica, felt,hands
664,Jessica, sensed,hands
665,Jessica, saw,Paul
666,Chani, helping,Paul
667,Stilgar, watching,Jessica
668,Paul, felt,instruction
669,Paul, cautioned,Paul
670,Paul, told,Paul
671,Paul, felt,muscles
672,Jessica, screamed,man
673,shield, needed,control
674,Paul, see,shield
675,Jessica, hoped,Jamis
676,Stilgar, waved,Jessica
677,Jessica, saw,Paul
678,Paul, do,man
679,Jessica, told,Jessica
680,Paul, left,hand
681,Paul, shifted own,knife
682,Jessica, forced,Jessica
683,Paul, met,mother
684,Jessica, own,words
685,Jessica, swept,glance
686,Stilgar, faced,Jessica
687,Jessica, saw,belief
688,Paul, told,Paul
689,Stilgar, touched ’s,Paul forehead
690,Stilgar, released,Paul
691,Stilgar, held,Paul
692,Paul, told,Paul
693,Icannot, let,Icannot
694,God, created,Arrakis
695,Heat, forced,Jessica thoughts
696,Jessica, found,Jessica
697,Stillgar, knew,suit
698,Stillgar, corrected,Stillgar
699,Jessica, said,way
700,Jessica, asked,Jessica
701,Paul, watched,hand move
702,Paul, allowed,Paul
703,Paul, shifted,Stilgar attention
704,Paul, saw,faces
705,Jamis, drew,friend
706,Paul, felt,tears
707,Paul, groped,Paul
708,Usul, gives,moisture
709,Paul, felt,fingers
710,Paul, damp,cheek
711,Paul, recognized ’s,Chani face
712,Chani, pass,Muad’Dib
713,Chani, guided,Paul hands
714,Chani, held,others
715,Chani, extended,hand
716,Stilgar, passed,wash
717,Stilgar, felt,steps
718,Paul, felt ’s,Chani hand
719,Paul, pressed,Paul
720,Jessica, saw,pool
721,Jessica, worked,Jessica
722,Stilgar, cocked,head
723,Jessica, felt,son
724,Chani, knew,Chani
725,Jessica, asked,Jessica
726,Rautha Harkonnen, killed,Harkonnen
727,Rautha, dipped,Baron head
728,Baron, studied,Feyd
729,Rautha, turned,man attention
730,Baron, tipped gross,head
731,Baron, waddling,gait
732,Emperor, deserves,credit
733,Emperor, has,obligations
734,Baron, studied,Fenring
735,Baron, hopes,Emperor
736,Baron, permitted,anger
737,Baron, held,breath
738,Baron, found difficult to keep,Count irony
739,Baron, kept,Baron
740,Baron, raised,voice
741,Baron, did sudden,stiffening
742,Baron, felt,Baron
743,Rautha, led,Baron troupe
744,Rautha, led,Baron men
745,Rautha, prided,Baron
746,Rautha, felt own,gladiator excitement kindle
747,Rautha, gave,ground
748,Hawat, drew long,blade
749,Hawat, drew short,blade
750,Baron, waved,hand
751,Baron, watched,people
752,Baron, pushed,Baron
753,Count Fenring, faced,man
754,Count Fenring, faced,man lady
755,Baron, eliminate,Hawat
756,Paul, wiped,sweat
757,Paul, helped,Paul
758,Paul, asked,Paul
759,Paul, realized,man
760,Farok, found,Farok
761,Stilgar, gave,head
762,Stilgar, swept,Paul eyes
763,Paul, weirding,ways
764,Stilgar, returned stare,Paul
765,Gaib, turned,eyes
766,Stilgar, returned,attention
767,Paul, mourning,woman man
768,Harah, lifted,Stilgar arms
769,Jamis, bested,Geoff
770,Paul, faced,Harah
771,Paul, took ’s,Harah arm
772,Paul, smoothed,voice
773,Paul, released,Chani arm
774,Paul, glimpsed,adult shapes
775,Paul, caught,Paul
776,Paul, remembered,bits
777,Stilgar, tells,sietch
778,Paul, slowed,pace
779,Paul, felt,Paul
780,Paul, masked,unease
781,Paul, shook,head
782,Jessica, felt,misgivings
783,Stilgar, took,arm
784,Stilgar, left,arm
785,Paul, asked,guard
786,Jessica, ignored ’s,Chani approach
787,Jessica, saw,Paul
788,Jessica, asked,Jessica
789,Jessica, felt,Jessica
790,Jessica, felt,Jessica
791,Jessica, reminded,Jessica
792,Jessica, asked,Jessica
793,Jessica, asked,Jessica
794,Jessica, swallowed,gulp
795,Jessica, studied ’s,Chani face
796,Jessica, told,Jessica
797,Jessica, realized,Jessica
798,Jessica, sensed,people
799,Jessica, focused,attention
800,Jessica, asked,Jessica
801,Ramallo, found,extension
802,Ramallo, sensed,motion
803,Jessica, told,Jessica
804,Jessica, compelled,Jessica
805,Jessica, fought,Terror
806,Jessica, told,Jessica
807,Jessica, reduced,Jessica
808,Reverend Mother, asserted,presence
809,Jessica, saw,lover strength
810,Jessica, asked,Jessica
811,Jessica, watched,mote
812,Reverend Mother, left,fetus
813,Reverend Mother, left,fetus life
814,Jessica, saw own,life
815,Jessica, opened,eyes
816,Jessica, realized,words
817,Jessica, opened,mind
818,Paul, searched,memory
819,Paul, felt,carnival excitement
820,Chani, put,hand
821,Paul, followed,father
822,Paul, found losing,focus
823,Chani, steadied,Paul
824,Paul, saw,head
825,Chani, pulled,child
826,Chani, held,Chani
827,Harkonnen, called,Feyd
828,Paul, felt,Paul
829,Paul future, becoming,memories
830,Nefud, returned,attention
831,Baron, held,Nefud voice
832,Rautha, had own,Baron spy system
833,Baron, kept,hand
834,Baron, snapped,fingers
835,Nefud, signaled,men
836,Rautha, indicated,Baron fear
837,Baron, asked,Baron
838,Rautha, forced,Rautha
839,Baron, kept,body
840,Rautha, studied,Baron uncle
841,Baron, shook,head
842,Baron, found,Baron
843,Baron, shook,head
844,Baron, shook,head
845,Rautha, studied,Baron uncle
846,Rautha, betrayed,anger
847,Hawat, believes,Hawat
848,Baron, ask,Baron
849,Hawat, thinks,Hawat
850,Rautha, spoke,words
851,Rautha, asked,Rautha
852,Thufir Hawat, told,Hawat
853,Emperor, gets,Secundus Sardaukar
854,Baron, pursed fat,lips
855,Hawat, asked,Hawat
856,Baron, shook,head
857,Baron, rubbed,jowls
858,Baron, pursed fat,lips
859,Sardaukar, produced,recruits
860,Emperor, sent first,Secundus contingents
861,Baron, composed,features
862,Baron, opened,eyes
863,Hawat, shook,Baron head
864,Baron, studied,Mentat
865,Baron, turned,hands
866,Baron, asked,Baron
867,Halleck, hiding,place
868,Baron, told,Baron
869,Baron, asked,Baron
870,Muad’Dib, told,Muad’Dib
871,Muad’Dib, told,Chani
872,Paul, told,Paul
873,Paul, told,Paul
874,Paul, remembered,Paul
875,Paul, suppressed,anger
876,Paul, told,Paul
877,Paul, reassured,Paul
878,Fremen, believed had,Paul Paul
879,Paul, had true,existence
880,Paul, knew,fear
881,Paul, told,Paul
882,Paul, told,Paul
883,Paul, remembered,world
884,Chani, heard,Paul
885,Paul, saw,Stilgar
886,Paul, saw,movement
887,Paul, told,Paul
888,Paul, knew,leadership
889,Paul, saw,universe
890,Chani, joined,Paul
891,Chani, studied,Paul mood
892,Alia, incites,trouble
893,Paul, asked,Paul
894,Paul, resisted terrible,purpose
895,Chani, had,Chani
896,Paul, own,eyes
897,Stilgar, squared,shoulders
898,Paul, saluted,banner
899,Paul, accepted,shafts
900,Paul, left,hand
901,Paul, told,Paul
902,Paul, left,hand
903,Paul, overcame,Stilgar
904,Paul, cautioned,Paul
905,Jessica, resting,chamber
906,Jessica, knew,Jessica
907,Jessica, knew,chamber
908,Jessica, knew,Jessica
909,Jessica, knew,Jessica
910,Jessica, asked,Jessica
911,Paul, passed,test
912,Jessica, asked,Jessica
913,Jessica, wore,sietch sandals
914,Harah, came,Alia
915,Jessica, sensed,amusement
916,Jessica, shook,head
917,Jessica, asked,Jessica
918,Jessica, found,daughter
919,Jessica, returned,attention
920,Jessica, reminded,Jessica
921,Jessica, felt,surprise
922,Jessica, asked,Jessica
923,Alia, shook,head
924,Jessica, loved,Alia
925,Jessica, recognized,woman
926,Paul, feel,power
927,Jessica, lowered,gaze
928,Tharthar, cleared,Jessica throat
929,Jessica, met ’s,Tharthar gaze
930,Muad’Dib, slays,Stilgar
931,Harah, shook,head
932,Jessica, swept,gaze
933,Paul, steadied,Paul
934,Paul, lifted,hooks
935,Paul, felt,hooks bite
936,Paul, found,Paul
937,Paul, saw,others
938,Stilgar, slapped ’s,Paul shoulder
939,Paul, motioned,flankers
940,Paul, had,worm
941,Paul, kept,attention
942,Stilgar, studied,Paul
943,Stilgar, pulled,robe
944,Paul, thinks call,Iwill Paul
945,Paul, knows,Paul
946,Paul, exposed,cheeks
947,Paul, knew,Paul
948,Stilgar, steadied,Stilgar
949,Stilgar, heard,pain
950,Gaib, knew,maker
951,Stilgar, removed,hand
952,Stilgar, left,hand
953,Paul, shook,Paul
954,Paul, recognized,Chani
955,Usul, thinks,Fremen
956,Gurney, sheathed,Halleck binoculars
957,Gurney, checked,weapons
958,Fremen, worried,Gurney
959,Gurney, tested,crawler muscles
960,Gurney, had,time
961,Gurney, threw,hood
962,Gurney, shook,head
963,Paul, saw,swordmaster
964,Gurney, standing,guard
965,Paul, saw,Stilgar
966,Duke, shook,head
967,Fremen, waving,Gurney kerchief
968,Fremen, struck,Gurney
969,Gurney, saw,Fremen
970,Paul, shook,head
971,Gurney, shook,Paul head
972,Paul, signaled,Paul
973,Gurney, studied,Paul
974,Stilgar, extended,Paul hand
975,Gurney, retrieve,clatter
976,Paul, left,cheek
977,Paul, saw,motion
978,Paul, returned,attention
979,Paul, shook,head
980,Paul, left,hand
981,Stilgar, opened,hand
982,Paul, killed,Jamis
983,Gurney, disturbed,Halleck
